# Bundled ECO opening dataset for chess.opening.EcoBook (Phase 2).
# Tab-separated: ECO<TAB>name<TAB>SAN moves. ECO codes are indicative.
# Validated for legality + canonical engine-SAN by EcoDatasetSpec.
C20	King's Pawn Game	e4 e5
B12	Caro-Kann Defense: Advance	e4 c6 d4 d5 e5
B13	Caro-Kann Defense: Exchange	e4 c6 d4 d5 exd5
B14	Caro-Kann: Panov-Botvinnik Attack	e4 c6 d4 d5 exd5 cxd5 c4
B18	Caro-Kann Defense: Classical	e4 c6 d4 d5 Nc3 dxe4 Nxe4 Bf5
B00	Nimzowitsch Defense	e4 Nc6
B00	Owen Defense	e4 b6
B01	Scandinavian Defense	e4 d5
B01	Scandinavian: Main Line	e4 d5 exd5 Qxd5
B02	Alekhine Defense	e4 Nf6
B06	Modern Defense	e4 g6
B07	Pirc Defense	e4 d6 d4 Nf6 Nc3 g6
D00	Queen's Pawn Game	d4 d5
D02	London System	d4 d5 Nf3 Nf6 Bf4
D04	Colle System	d4 d5 Nf3 Nf6 e3
D06	Queen's Gambit	d4 d5 c4
D07	Queen's Gambit Declined: Chigorin	d4 d5 c4 Nc6
D08	Albin Countergambit	d4 d5 c4 e5
D10	Slav Defense	d4 d5 c4 c6
D20	Queen's Gambit Accepted	d4 d5 c4 dxc4
D30	Queen's Gambit Declined	d4 d5 c4 e6
D35	QGD: Exchange Variation	d4 d5 c4 e6 cxd5 exd5
D37	QGD: Three Knights	d4 d5 c4 e6 Nc3 Nf6 Nf3
D43	Semi-Slav Defense	d4 d5 c4 c6 Nc3 Nf6 Nf3 e6
A45	Indian Defense	d4 Nf6
A46	Indian Defense: London System	d4 Nf6 Nf3 e6 Bf4
A52	Budapest Gambit	d4 Nf6 c4 e5
A56	Benoni Defense	d4 Nf6 c4 c5
A57	Benko Gambit	d4 Nf6 c4 c5 d5 b5
A60	Benoni Defense: Modern	d4 Nf6 c4 c5 d5 e6
E11	Bogo-Indian Defense	d4 Nf6 c4 e6 Nf3 Bb4+
E12	Queen's Indian Defense	d4 Nf6 c4 e6 Nf3 b6
E20	Nimzo-Indian Defense	d4 Nf6 c4 e6 Nc3 Bb4
E60	King's Indian Defense	d4 Nf6 c4 g6
E80	King's Indian Defense: Sämisch	d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 f3
E90	King's Indian Defense: Classical	d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Nf3
D70	Grünfeld Defense	d4 Nf6 c4 g6 Nc3 d5
D90	Grünfeld Defense: Three Knights	d4 Nf6 c4 g6 Nc3 d5 Nf3
A40	Queen's Pawn Game	d4 e6
A41	Old Indian Defense	d4 d6
A43	Old Benoni Defense	d4 c5
A80	Dutch Defense	d4 f5
A10	English Opening	c4
A15	English Opening: Anglo-Indian	c4 Nf6
A20	English Opening: King's English	c4 e5
A30	English Opening: Symmetrical	c4 c5
A04	Réti Opening	Nf3
A05	Réti Opening: Symmetrical	Nf3 Nf6
A07	King's Indian Attack	Nf3 d5 g3
A01	Nimzo-Larsen Attack	b3
A02	Bird Opening	f4
A00	Hungarian Opening	g3
A00	Polish Opening	b4
A00	Grob Opening	g4
A00	Van't Kruijs Opening	e3
A00	Mieses Opening	d3
A00	Anderssen Opening	a3
